# effect kind	serde payload type
AdaptEffect	ironsmith_core::AdaptEffect
ConniveEffect	ironsmith_core::ConniveEffect
ConspireCostEffect	ironsmith_core::ConspireCostEffect
ConsultTopOfLibraryEffect	ironsmith_core::ConsultTopOfLibraryEffect
ControlCombatChoicesThisTurnEffect	ironsmith_core::ControlCombatChoicesThisTurnEffect
ControlPlayerEffect	ironsmith_core::ControlPlayerEffect
ConvertEffect	ironsmith_core::ConvertEffect
CopySpellEffect	ironsmith_core::CopySpellEffect
CopySpellForEachTargetEffect	ironsmith_core::CopySpellForEachTargetEffect
CounterEffect	ironsmith_core::CounterEffect
CreateEmblemEffect	ironsmith_core::CreateEmblemEffect<wire::WireEmblemDescription>
CreateTokenCopyEffect	ironsmith_core::CreateTokenCopyEffect<wire::WireStaticAbility>
CreateTokenEffect	ironsmith_core::CreateTokenEffect<wire::WireCardDefinition>
CrewCostEffect	ironsmith_core::CrewCostEffect
CumulativeUpkeepEffect	ironsmith_core::CumulativeUpkeepEffect<wire::WireEffect>
DealDamageEffect	ironsmith_core::DealDamageEffect
DealDistributedDamageEffect	ironsmith_core::DealDistributedDamageEffect
DestroyEffect	ironsmith_core::DestroyEffect
DestroyNoRegenerationEffect	ironsmith_core::DestroyNoRegenerationEffect
DetainEffect	ironsmith_core::DetainEffect
DevourEffect	ironsmith_core::DevourEffect
DirectionalAdjacentPlayerControlEffect	ironsmith_core::DirectionalAdjacentPlayerControlEffect
DiscardEffect	ironsmith_core::DiscardEffect
DiscardHandEffect	ironsmith_core::DiscardHandEffect
DiscoverEffect	ironsmith_core::DiscoverEffect
DoubleCountersEffect	ironsmith_core::DoubleCountersEffect
DoubleManaPoolEffect	ironsmith_core::DoubleManaPoolEffect
DrawCardsEffect	ironsmith_core::DrawCardsEffect
DrawForEachTaggedMatchingEffect	ironsmith_core::DrawForEachTaggedMatchingEffect
EachPlayerScryEffect	ironsmith_core::EachPlayerScryEffect
EarthbendEffect	ironsmith_core::EarthbendEffect
EmitGiftGivenEffect	ironsmith_core::EmitGiftGivenEffect
EmitKeywordActionEffect	ironsmith_core::EmitKeywordActionEffect
EmptyManaPoolEffect	ironsmith_core::EmptyManaPoolEffect
EndCombatPhaseEffect	ironsmith_core::EndCombatPhaseEffect
EndTurnEffect	ironsmith_core::EndTurnEffect
EnergyCountersEffect	ironsmith_core::EnergyCountersEffect
EvolveEffect	ironsmith_core::EvolveEffect
ExchangeControlEffect	ironsmith_core::ExchangeControlEffect
ExchangeLifeTotalsEffect	ironsmith_core::ExchangeLifeTotalsEffect
ExchangeTextBoxesEffect	ironsmith_core::ExchangeTextBoxesEffect
ExchangeValuesEffect	ironsmith_core::ExchangeValuesEffect
ExchangeZonesEffect	ironsmith_core::ExchangeZonesEffect
ExecuteWithSourceEffect	ironsmith_core::ExecuteWithSourceEffect<wire::WireEffect>
ExertCostEffect	ironsmith_core::ExertCostEffect
ExileEffect	ironsmith_core::ExileEffect
ExileInsteadOfGraveyardEffect	ironsmith_core::ExileInsteadOfGraveyardEffect
ExileTaggedWhenSourceLeavesEffect	ironsmith_core::ExileTaggedWhenSourceLeavesEffect
ExileTopOfLibraryEffect	ironsmith_core::ExileTopOfLibraryEffect
ExileUntilEffect	ironsmith_core::ExileUntilEffect
ExperienceCountersEffect	ironsmith_core::ExperienceCountersEffect
ExploreEffect	ironsmith_core::ExploreEffect
ExtraTurnAfterNextTurnEffect	ironsmith_core::ExtraTurnAfterNextTurnEffect
ExtraTurnEffect	ironsmith_core::ExtraTurnEffect
FatesealEffect	ironsmith_core::FatesealEffect
FightEffect	ironsmith_core::FightEffect
FlipCoinEffect	ironsmith_core::FlipCoinEffect
FlipEffect	ironsmith_core::FlipEffect
ForEachControllerOfTaggedEffect	ironsmith_core::ForEachControllerOfTaggedEffect<wire::WireEffect>
ForEachCounterKindPutOrRemoveEffect	ironsmith_core::ForEachCounterKindPutOrRemoveEffect
ForEachObject	ironsmith_core::ForEachObject<wire::WireEffect>
ForEachObjectCorrelatedResultEffect	ironsmith_core::ForEachObjectCorrelatedResultEffect<wire::WireEffect>
ForEachTaggedEffect	ironsmith_core::ForEachTaggedEffect<wire::WireEffect>
ForEachTaggedPlayerEffect	ironsmith_core::ForEachTaggedPlayerEffect<wire::WireEffect>
ForPlayersEffect	ironsmith_core::ForPlayersEffect<wire::WireEffect>
GainLifeEffect	ironsmith_core::GainLifeEffect
GoadEffect	ironsmith_core::GoadEffect
ClearGoadEffect	ironsmith_core::ClearGoadEffect
GrantAbilitiesTargetEffect	ironsmith_core::GrantAbilitiesTargetEffect<wire::WireStaticAbility>
GrantBySpecEffect	ironsmith_core::GrantBySpecEffect<wire::WireGrantSpec, wire::WireGrantDuration>
GrantEffect	ironsmith_core::GrantEffect<wire::WireGrantable, wire::WireGrantDuration>
GrantNextSpellAbilityEffect	ironsmith_core::GrantNextSpellAbilityEffect<wire::WireAbility>
GrantNextSpellCostReductionEffect	ironsmith_core::GrantNextSpellCostReductionEffect
GrantPlayTaggedEffect	ironsmith_core::GrantPlayTaggedEffect
GrantRepeatableManaPaymentActionUntilEndOfTurnEffect	ironsmith_core::GrantRepeatableManaPaymentActionUntilEndOfTurnEffect<wire::WireEffect>
GrantTaggedSpellFreeCastUntilEndOfTurnEffect	ironsmith_core::GrantTaggedSpellFreeCastUntilEndOfTurnEffect
GrantTaggedSpellLifeCostByManaValueEffect	ironsmith_core::GrantTaggedSpellLifeCostByManaValueEffect
HauntExileEffect	ironsmith_core::HauntExileEffect<wire::WireEffect>
HealDamageEffect	ironsmith_core::HealDamageEffect
IfEffect	ironsmith_core::IfEffect<wire::WireEffect>
IncreaseSpeedEffect	ironsmith_core::IncreaseSpeedEffect
IncubateEffect	ironsmith_core::IncubateEffect
InvestigateEffect	ironsmith_core::InvestigateEffect
LearnEffect	ironsmith_core::LearnEffect
LocalRewriteEffect	ironsmith_core::LocalRewriteEffect<wire::WireEffect>
LookAtHandEffect	ironsmith_core::LookAtHandEffect
LookAtObjectsEffect	ironsmith_core::LookAtObjectsEffect
LookAtTopCardsEffect	ironsmith_core::LookAtTopCardsEffect
LoseLifeEffect	ironsmith_core::LoseLifeEffect
LoseTheGameEffect	ironsmith_core::LoseTheGameEffect
ManaRestrictedEffect	ironsmith_core::ManaRestrictedEffect<wire::WireEffect>
ManaRetainedEffect	ironsmith_core::ManaRetainedEffect<wire::WireEffect>
ManifestCardFromHandEffect	ironsmith_core::ManifestCardFromHandEffect
ManifestDreadEffect	ironsmith_core::ManifestDreadEffect
ManifestObjectsEffect	ironsmith_core::ManifestObjectsEffect
ManifestTopCardOfLibraryEffect	ironsmith_core::ManifestTopCardOfLibraryEffect
MayCastMatchingSpellWithoutPayingManaCostEffect	ironsmith_core::MayCastMatchingSpellWithoutPayingManaCostEffect
MayEffect	ironsmith_core::MayEffect<wire::WireEffect>
MayMoveToZoneEffect	ironsmith_core::MayMoveToZoneEffect
MeldEffect	ironsmith_core::MeldEffect
MillEffect	ironsmith_core::MillEffect
ModifyPowerToughnessEffect	ironsmith_core::ModifyPowerToughnessEffect
ModifyPowerToughnessForEachEffect	ironsmith_core::ModifyPowerToughnessForEachEffect
MonstrosityEffect	ironsmith_core::MonstrosityEffect
MoveAllCountersEffect	ironsmith_core::MoveAllCountersEffect
MoveCountersEffect	ironsmith_core::MoveCountersEffect
MoveOneCounterEffect	ironsmith_core::MoveOneCounterEffect
MoveToLibraryNthFromTopEffect	ironsmith_core::MoveToLibraryNthFromTopEffect
MoveToLibraryTopOrBottomChoiceEffect	ironsmith_core::MoveToLibraryTopOrBottomChoiceEffect
MoveToZoneEffect	ironsmith_core::MoveToZoneEffect
NinjutsuCostEffect	ironsmith_core::NinjutsuCostEffect
NinjutsuEffect	ironsmith_core::NinjutsuEffect
NoteLifeTotalEffect	ironsmith_core::NoteLifeTotalEffect
OpenAttractionEffect	ironsmith_core::OpenAttractionEffect
PayAnyEnergyEffect	ironsmith_core::PayAnyEnergyEffect
PayAnyLifeEffect	ironsmith_core::PayAnyLifeEffect
PayEnergyEffect	ironsmith_core::PayEnergyEffect
PayLifeEffect	ironsmith_core::PayLifeEffect
PayManaEffect	ironsmith_core::PayManaEffect
PhaseInEffect	ironsmith_core::PhaseInEffect
PhaseOutEffect	ironsmith_core::PhaseOutEffect
PlaySubgameEffect	ironsmith_core::PlaySubgameEffect<wire::WireEffect>
PoisonCountersEffect	ironsmith_core::PoisonCountersEffect
PopulateEffect	ironsmith_core::PopulateEffect
PrepareEffect	ironsmith_core::PrepareEffect
PreventAllCombatDamageEffect	ironsmith_core::PreventAllCombatDamageEffect
PreventAllDamageEffect	ironsmith_core::PreventAllDamageEffect
PreventAllDamageToTargetEffect	ironsmith_core::PreventAllDamageToTargetEffect<wire::WireEffect>
PreventDamageEffect	ironsmith_core::PreventDamageEffect<wire::WireEffect>
PreventNextTimeDamageEffect	ironsmith_core::PreventNextTimeDamageEffect<wire::WireEffect>
ProliferateEffect	ironsmith_core::ProliferateEffect
PutCounterOfChosenKindEffect	ironsmith_core::PutCounterOfChosenKindEffect
PutCountersEffect	ironsmith_core::PutCountersEffect
PutOntoBattlefieldEffect	ironsmith_core::PutOntoBattlefieldEffect
PutStickerEffect	ironsmith_core::PutStickerEffect
PutTaggedRemainderOnLibraryBottomEffect	ironsmith_core::PutTaggedRemainderOnLibraryBottomEffect
RearrangeLookedCardsInLibraryEffect	ironsmith_core::RearrangeLookedCardsInLibraryEffect
ReconfigureEffect	ironsmith_core::ReconfigureEffect
RedirectAllDamageThisTurnToTargetEffect	ironsmith_core::RedirectAllDamageThisTurnToTargetEffect
RedirectNextDamageToTargetEffect	ironsmith_core::RedirectNextDamageToTargetEffect
RedirectNextTimeDamageToSourceEffect	ironsmith_core::RedirectNextTimeDamageToSourceEffect
ReduceSpeedEffect	ironsmith_core::ReduceSpeedEffect
ReflexiveTriggerEffect	ironsmith_core::ReflexiveTriggerEffect<wire::WireEffect>
RegenerateEffect	ironsmith_core::RegenerateEffect<wire::WireEffect>
RegisterDamagedBySourceZoneReplacementEffect	ironsmith_core::RegisterDamagedBySourceZoneReplacementEffect
RegisterDrawReplacementEffect	ironsmith_core::RegisterDrawReplacementEffect<wire::WireEffect>
RegisterEnterTappedReplacementEffect	ironsmith_core::RegisterEnterTappedReplacementEffect
RegisterEnterUnderControlReplacementEffect	ironsmith_core::RegisterEnterUnderControlReplacementEffect
RegisterFutureZoneReplacementEffect	ironsmith_core::RegisterFutureZoneReplacementEffect
RegisterManaReplacementEffect	ironsmith_core::RegisterManaReplacementEffect
RegisterEnterWithCountersReplacementEffect	ironsmith_core::RegisterEnterWithCountersReplacementEffect
RegisterNextBatchEnterWithCountersEffect	ironsmith_core::RegisterNextBatchEnterWithCountersEffect
RegisterZoneReplacementEffect	ironsmith_core::RegisterZoneReplacementEffect
RemoveAnyCountersAmongEffect	ironsmith_core::RemoveAnyCountersAmongEffect
RemoveCountersEffect	ironsmith_core::RemoveCountersEffect
RemoveFromCombatEffect	ironsmith_core::RemoveFromCombatEffect
RemoveUpToAnyCountersEffect	ironsmith_core::RemoveUpToAnyCountersEffect
RemoveUpToCountersEffect	ironsmith_core::RemoveUpToCountersEffect
RenownEffect	ironsmith_core::RenownEffect
ReorderGraveyardEffect	ironsmith_core::ReorderGraveyardEffect
ReorderLibraryTopEffect	ironsmith_core::ReorderLibraryTopEffect
ReorderTopPlanarDeckEffect	ironsmith_core::ReorderTopPlanarDeckEffect
RepeatEffectsEffect	ironsmith_core::RepeatEffectsEffect<wire::WireEffect>
RepeatProcessEffect	ironsmith_core::RepeatProcessEffect<wire::WireEffect>
RepeatProcessPromptEffect	ironsmith_core::RepeatProcessPromptEffect
ReplaceNextDamageToTargetEffect	ironsmith_core::ReplaceNextDamageToTargetEffect<wire::WireEffect>
RestartGameEffect	ironsmith_core::RestartGameEffect
RetainManaUntilEndOfTurnEffect	ironsmith_core::RetainManaUntilEndOfTurnEffect
RetargetStackObjectEffect	ironsmith_core::RetargetStackObjectEffect
ReturnAllToBattlefieldEffect	ironsmith_core::ReturnAllToBattlefieldEffect
ReturnFromGraveyardOrExileToBattlefieldEffect	ironsmith_core::ReturnFromGraveyardOrExileToBattlefieldEffect
ReturnFromGraveyardToBattlefieldEffect	ironsmith_core::ReturnFromGraveyardToBattlefieldEffect
ReturnFromGraveyardToHandEffect	ironsmith_core::ReturnFromGraveyardToHandEffect
ReturnToHandEffect	ironsmith_core::ReturnToHandEffect
RevealFromHandEffect	ironsmith_core::RevealFromHandEffect
RevealSourceFromHandEffect	ironsmith_core::RevealSourceFromHandEffect
RevealTaggedEffect	ironsmith_core::RevealTaggedEffect
RevealTopEffect	ironsmith_core::RevealTopEffect
ReverseTurnOrderEffect	ironsmith_core::ReverseTurnOrderEffect
RingTemptsYouEffect	ironsmith_core::RingTemptsYouEffect
RollDiceChooseResultEffect	ironsmith_core::RollDiceChooseResultEffect
RollDieEffect	ironsmith_core::RollDieEffect
SacrificeEffect	ironsmith_core::SacrificeEffect
SacrificePlayerEffect	ironsmith_core::SacrificePlayerEffect
SacrificeTargetEffect	ironsmith_core::SacrificeTargetEffect
ScheduleDelayedTriggerEffect	ironsmith_core::ScheduleDelayedTriggerEffect<wire::WireEffect>
ScheduleEffectsWhenTaggedLeavesEffect	ironsmith_core::ScheduleEffectsWhenTaggedLeavesEffect<wire::WireEffect>
ScryEffect	ironsmith_core::ScryEffect
SearchLibraryEffect	ironsmith_core::SearchLibraryEffect
SearchLibrarySlotsEffect	ironsmith_core::SearchLibrarySlotsEffect
SecretChoiceEffect	ironsmith_core::SecretChoiceEffect
SequenceEffect	ironsmith_core::SequenceEffect<wire::WireEffect>
SetBasePowerToughnessEffect	ironsmith_core::SetBasePowerToughnessEffect
SetLifeTotalEffect	ironsmith_core::SetLifeTotalEffect
ShuffleGraveyardIntoLibraryEffect	ironsmith_core::ShuffleGraveyardIntoLibraryEffect
ShuffleHandAndGraveyardIntoLibraryEffect	ironsmith_core::ShuffleHandAndGraveyardIntoLibraryEffect
ShuffleLibraryEffect	ironsmith_core::ShuffleLibraryEffect
ShuffleObjectsIntoLibraryEffect	ironsmith_core::ShuffleObjectsIntoLibraryEffect
SkipCombatPhasesEffect	ironsmith_core::SkipCombatPhasesEffect
SkipCombatPhasesThisTurnEffect	ironsmith_core::SkipCombatPhasesThisTurnEffect
SkipDrawStepEffect	ironsmith_core::SkipDrawStepEffect
SkipMainPhasesThisTurnEffect	ironsmith_core::SkipMainPhasesThisTurnEffect
SkipNextCombatPhaseThisTurnEffect	ironsmith_core::SkipNextCombatPhaseThisTurnEffect
SkipTurnEffect	ironsmith_core::SkipTurnEffect
SneakCostEffect	ironsmith_core::SneakCostEffect
SolveCaseEffect	ironsmith_core::SolveCaseEffect
SoulbondPairEffect	ironsmith_core::SoulbondPairEffect
SupportEffect	ironsmith_core::SupportEffect
SurveilEffect	ironsmith_core::SurveilEffect
SuspectEffect	ironsmith_core::SuspectEffect
TagAttachedToSourceEffect	ironsmith_core::TagAttachedToSourceEffect
TagMatchingObjectsEffect	ironsmith_core::TagMatchingObjectsEffect
TagOtherBlockParticipantEffect	ironsmith_core::TagOtherBlockParticipantEffect
TagTriggeringAttackerEffect	ironsmith_core::TagTriggeringAttackerEffect
TagTriggeringBlockersEffect	ironsmith_core::TagTriggeringBlockersEffect
TagTriggeringDamageTargetEffect	ironsmith_core::TagTriggeringDamageTargetEffect
TagTriggeringObjectEffect	ironsmith_core::TagTriggeringObjectEffect
TagTriggeringSourceEffect	ironsmith_core::TagTriggeringSourceEffect
TaggedEffect	ironsmith_core::TaggedEffect<wire::WireEffect>
TakeInitiativeEffect	ironsmith_core::TakeInitiativeEffect
TapEffect	ironsmith_core::TapEffect
TargetOnlyEffect	ironsmith_core::TargetOnlyEffect
TicketCountersEffect	ironsmith_core::TicketCountersEffect
TransformEffect	ironsmith_core::TransformEffect
TurnFaceUpEffect	ironsmith_core::TurnFaceUpEffect
UnattachObjectsEffect	ironsmith_core::UnattachObjectsEffect
UnearthEffect	ironsmith_core::UnearthEffect
UnlessActionEffect	ironsmith_core::UnlessActionEffect<wire::WireEffect>
UnlessPaysEffect	ironsmith_core::UnlessPaysEffect<wire::WireEffect>
UnlockRoomDoorEffect	ironsmith_core::UnlockRoomDoorEffect
UntapEffect	ironsmith_core::UntapEffect
VariableCasualtyPlaneswalkerCopyEffect	ironsmith_core::VariableCasualtyPlaneswalkerCopyEffect
VentureIntoDungeonEffect	ironsmith_core::VentureIntoDungeonEffect
VillainousChoiceEffect	ironsmith_core::VillainousChoiceEffect<wire::WireEffect>
VoteEffect	ironsmith_core::VoteEffect<wire::WireEffect>
WinTheGameEffect	ironsmith_core::WinTheGameEffect
WithIdEffect	ironsmith_core::WithIdEffect<wire::WireEffect>
ImprintFromHandEffect	wire::WireImprintFromHandEffect
ScaleXValueEffect	wire::WireScaleXValueEffect
